iter	Passed	Remaining
0	224	223890
1	339	169552
2	403	134039
3	484	120529
4	554	110430
5	644	106844
6	747	10605577	805	9985988	894	9850499	984	97470110	1052	94644111	1133	93362112	1213	921401113	1325	93351114	1409	92541115	1501	92371116	1577	91221117	1646	89821118	1730	89191919	1824	89402020	1918	89462121	2000	88932222	2088	88692323	2158	87772424	2246	87602525	2330	87302626	2409	86272727	2504	86942828	2595	86892929	2673	86453030	2755	86113131	2857	86423232	2935	86003333	3026	85983434	3101	85353535	3178	8536	3336	3298	837	3337	3385	838	3338	3471	839	3339	3553	840	3440	3642	841	3441	3721	842	3442	3803	843	3443	3884	84444444	3957	845	3445	4036	84646446	4127	84747447	4214	84848448	4286	84949449	4389	83350550	4479	83349551	4564	83211552	4645	83001553	4747	83163554	4835	83086555	4927	83059556	5012	82923557	5093	82719558	5179	82615559	5261	82430660	5333	82099661	5418	81973662	5502	81838663	5586	8170764	5656	81368
65	5756	81468
66	5850	81468
67	5932	81315
68	6030	81367
69	6109	81168
70	6177	80823
71	6249	80557272	6344	80577373	6431	80487474	6527	80511
75	6618	80466
76	6693	80240
77	6783	80186
78	6869	80090
79	6960	80041
80	7035	79817
81	7126	79780
82	7210	79661
83	7292	7984	784	7389	7985	785	7483	79528
86	7597	79725
87	7668	79475
88	7750	79329
89	7824	79110
90	7907	78990
91	7987	78829
92	8076	78779393	8165	78700
94	8245	78559595	8334	7896	896	8411	7897	897	8494	7898	898	8588	7899	899	8679	78100	100	8763	78101	101	8842	77102	102	8925	77103	103	9011	77104	104	9083	77105	105	9170	77346
106	9258	77107	107	9350	77108	108	9433	77109	109	9527	771111110	9616	771111111	9714	770211112	9808	76989
113	9884	76825
114	9968	76717
115	10060	76668
116	10156	76649
117	10245	76578
118	10338	76537
119	10431	76499
120	10508	76341
121	10588	76199
122	10682	76163
123	10767	76069
124	10848	75942
125	10937	75869
126	11027	75802
127	11121	75762
128	11196	75594
129	11283	75513
130	11362	75375
131	11452	75310
132	11526	75138
133	11606	75006
134	11700	74967
135	11777	74821
136	11863	74728
137	11953	74663
138	12046	74618
139	12140	74580
140	12212	74398
141	12291	74271
142	12356	74052
143	12427	73876
144	12505	73741
145	12589	73641
146	12663	734147147	12747	733148148	12829	732149149	12905	731150150	12989	730151151	13052	728152152	13154	728153153	13249	727154154	13330	726155155	13429	726156156	13501	724157157	13574	723158158	13641	721159159	13721	720160160	13812	719161161	13918	719162162	14013	719163163	14097	164164164	14179	165165165	14270	716166166	14344	167167167	14418	168168168	14510	169169169	14605	170170170	14694	712171171	14778	172172172	14862	717173173	14955	717174174	15028	717175175	15116	717176176	15191	717177177	15279	717178178	15378	705179179	15465	704180180	15550	703181181	15638	702182182	15717	701183183	15793	700184	15888	699918185	15969	698818186	16063	69836
187	16144	697318188	16225	696218189	16296	694719190	16376	693619191	16456	692519192	16542	691719193	16622	690619194	16704	689619195	16790	688719196	16876	687819197	16953	686719198	17038	685819199	17125	685020200	17211	684120201	17295	683220202	17380	682320203	17458	681220204	17544	680420205	17637	679820206	17719	678820207	17817	67845
208	17910	67784
209	17985	67660
210	18073	67581
211	18149	67461
212	18227	67347
213	18317	67276
214	18400	67182
215	18483	67088
216	18579	67040
217	18663	66948
218	18729	66793
219	18811	66695
220	18894	66601
221	18978	66509
222	19063	66421
223	19138	66302
224	19223	66214
225	19314	66148
226	19399	66059
227	19491	65995
